"Team","Year","Active.Payroll","Retained","Average.Age","Payroll.Percent.Change","Top1_Percent","Median_Exp","Player_Group_Payroll_OutField","Player_Group_Payroll_Pitcher","Wins"
"cincinnati-reds",2015,-0.514578348203711,0.165153641695649,-0.465107591610434,-0.332959829392534,-0.818464303015891,-0.466352289815434,0.211225410838337,-0.309808426663305,-1.32586141743019
"cincinnati-reds",2016,-0.611834203827264,-0.440404489814606,-0.886867624305032,-1.26007224892298,1.17323654119877,-2.16574298670284,-0.701612127646751,-0.981013390223411,-1.01358787456145
"cleveland-guardians",2019,-0.195549169918118,-0.118337149742231,-0.254227575263132,-1.45467406371551,0.107414911071784,-0.421467755195761,-0.889528134333573,-0.77359647783594,0.938121768368168
"miami-marlins",2019,-0.553022592857757,-0.798438108917494,-0.465107591610434,-1.09622119260003,1.93999775030985,-1.35871016621447,-1.23069572990012,-0.882848208053317,-1.87234011745048
"detroit-tigers",2015,0.34980797929547,0.430931516288323,-0.465107591610434,-0.557853436110316,0.128502184385193,-1.32138045425355,-0.637573924334903,0.79182592247107,-0.467109174541155
"los-angeles-angels",2016,-0.068844543775717,1.4706773481046,-0.148787567089484,0.699255928787656,-0.288302420853033,-0.413468531204136,1.69090199484195,0.677391591459935,-0.545177560258339
"los-angeles-angels",2017,0.335340038649598,1.34440920028266,1.11649253099431,-0.50599021660193,-0.142072088596617,0.918402263401398,4.04561536060329,-0.396984616674098,-0.0767672459552316
"minnesota-twins",2014,-0.437496031203571,-0.168609924348643,-0.886867624305032,0.0580796663698146,1.90669170452657,-0.431688985851726,-0.885396676243145,-0.598620721424977,-0.857451103127078
"minnesota-twins",2015,0.173917557909037,-0.860270449345764,0.272972465605117,0.701550761509266,0.984675529258592,-0.402358497882435,-0.521006946720462,-0.324266228378453,0.157437911196322
"texas-rangers",2021,-1.42420886977585,2.47828842633312,-0.886867624305032,-1.85764668963023,0.171787978094328,-1.33871210623541,-1.26303075650688,-0.823288872871342,-1.63813496029892
"texas-rangers",2022,0.154952839841873,0.723428090139438,-0.675987607957733,2.30747470009196,1.06045671572373,-0.502793199110613,-0.50378859265054,-0.713783153255206,-1.01358787456145
"new-york-yankees",2012,2.51468413769296,-0.375064721081674,2.69809265359906,0.0268699413559183,-0.65375711694017,3.96521780154472,1.37863620128089,0.932080130128788,1.09425853980254
"pittsburgh-pirates",2012,-0.733900921955679,-0.906661832739108,0.378412473778764,0.914970204618998,2.04650965185845,0.375343834636646,-1.07992584637944,-0.429803379569083,-0.154835631672416
"new-york-yankees",2013,2.68431975134823,-0.446624470253338,2.06545260455716,-0.109902088852039,-0.837615549202348,3.02753098919314,1.73260795966985,0.83756293919776,0.313574682630691
"pittsburgh-pirates",2013,-0.528819791459358,-1.04962857540359,0.378412473778764,0.486295452222245,1.27503876897942,0.433116007909491,-0.876326050771564,-0.743783723442317,1.01619015408535
"philadelphia-phillies",2014,1.08505722760763,-0.841215104662063,1.32737254734161,0.0319185733434603,-0.460138002905558,1.29303258700916,-0.628927303402596,1.09513304048343,-0.623245945975524
"pittsburgh-pirates",2015,-0.233809391961942,-0.932562575446058,1.22193253916796,1.04761153592806,-0.96237583051604,1.26770171103568,-0.685144745843438,-0.445214533614769,1.32846369695409
"washington-nationals",2015,1.10355730996741,-0.978709246064029,0.167532457431466,0.425252901827419,-0.708279156549029,0.449558857225609,1.60032311284135,1.07003925746426,0.157437911196322
"washington-nationals",2016,0.548770238046141,-0.23723463866194,0.694732498299714,-1.01406618116639,-0.134005922113583,2.17605803541797,0.40781926286,0.667230199479027,1.09425853980254
"washington-nationals",2017,1.02610116900711,-0.738631375602328,1.32737254734161,0.379356247395218,-0.617485386825,1.391245281573,0.468916724017034,0.22440990986335,1.25039531123691
"new-york-yankees",2018,1.14530246671164,-0.538395466026829,-0.359667583436783,-0.92732150428953,-0.538863698406652,-0.441021413841955,0.852549887813752,1.82189808944138,1.48460046838846
"washington-nationals",2018,0.309665264988191,1.39988921250909,-0.465107591610434,-0.316437033796941,-0.584162565241574,0.41533995459477,-0.814652651701956,0.250240427811889,0.0793695254791376
"toronto-blue-jays",2020,-1.24429563193419,-0.209341148015744,-0.254227575263132,0.506948946716735,-0.259931948179791,-1.36226537687741,-0.354605822663478,0.437357750452584,0.391643068347876
"los-angeles-dodgers",2012,0.413924473323899,-0.842049096004493,1.22193253916796,-0.21087472860288,-0.752347486136066,2.64801225092383,1.24246004501885,-0.449200943744152,0.391643068347876
"los-angeles-dodgers",2013,2.39365481808382,0.269278289869611,1.32737254734161,4.38751107895929,-1.45490586415439,3.93322090557822,2.71782207662043,1.70326627457196,0.860053382650984
"los-angeles-dodgers",2014,2.97169691550449,-0.917971401593124,1.11649253099431,-0.183795702487882,-1.15960390103263,3.11818886109823,2.90044040647507,1.57771840993643,1.01619015408535
"los-angeles-dodgers",2015,2.22942864721113,3.17115508344574,0.483852481952415,0.835110025906969,-1.14731455504208,1.38191285358277,3.59660661171713,2.73901777448806,0.860053382650984
"los-angeles-dodgers",2016,2.10224052622523,2.09783549703051,0.694732498299714,-0.824054031817079,-0.720390163673161,0.479333746527768,3.265393444528,2.54957660177762,0.781984996933799
"philadelphia-phillies",2016,-0.820160044519204,0.230528516902685,-1.09774764065233,-1.51663454719898,1.46798790140876,-0.472129507142718,-1.15147428007124,-0.284114174728124,-0.779382717409893
"miami-marlins",2017,-0.432909276510101,-0.263046218213207,1.11649253099431,1.66033187259793,-0.516747204626363,0.377121439968118,-1.13454741722253,-0.253461107942096,-0.310972403106785
