"Wins","Team","Year","Average.Age","Active.Payroll","Position_Payroll_RP","Top3_Percent","Injured","Retained"
-1.32586141743019,"cincinnati-reds",2015,-0.465107591610434,-0.514578348203711,0.157932640221824,-0.657874627681532,0.540452122572951,0.165153641695649
-1.01358787456145,"cincinnati-reds",2016,-0.886867624305032,-0.611834203827264,-1.36950511961522,2.2716812522804,-0.069633722211417,-0.440404489814606
0.938121768368168,"cleveland-guardians",2019,-0.254227575263132,-0.195549169918118,-1.00140663324864,0.195429571728687,-0.360877253180838,-0.118337149742231
-1.87234011745048,"miami-marlins",2019,-0.465107591610434,-0.553022592857757,-1.21487790832941,2.82079060185239,-0.559162076163803,-0.798438108917494
-0.467109174541155,"detroit-tigers",2015,-0.465107591610434,0.34980797929547,-0.150981176861861,0.248783220210305,0.771677258876346,0.430931516288323
-0.545177560258339,"los-angeles-angels",2016,-0.148787567089484,-0.068844543775717,-0.327897552597477,0.256672751277969,1.46798569902805,1.4706773481046
-0.0767672459552316,"los-angeles-angels",2017,1.11649253099431,0.335340038649598,0.033281214422569,0.702000179876987,0.164768201890282,1.34440920028266
-0.857451103127078,"minnesota-twins",2014,-0.886867624305032,-0.437496031203571,0.121681325904925,1.30330315585575,-0.725131007438165,-0.168609924348643
0.157437911196322,"minnesota-twins",2015,0.272972465605117,0.173917557909037,0.401290644578475,0.441373681277421,-0.696376817930343,-0.860270449345764
-1.63813496029892,"texas-rangers",2021,-0.886867624305032,-1.42420886977585,-0.256386192076137,0.200275993405412,-0.288391103955136,2.47828842633312
-1.01358787456145,"texas-rangers",2022,-0.675987607957733,0.154952839841873,-0.888447718365856,1.17180599775738,0.0119022279291201,0.723428090139438
1.09425853980254,"new-york-yankees",2012,2.69809265359906,2.51468413769296,1.24769571356286,-0.672741522212229,-0.725131007438165,-0.375064721081674
-0.154835631672416,"pittsburgh-pirates",2012,0.378412473778764,-0.733900921955679,-0.636762095363045,0.415370070417603,-0.725131007438165,-0.906661832739108
0.313574682630691,"new-york-yankees",2013,2.06545260455716,2.68431975134823,0.38504573895454,-0.821788166079408,-0.725131007438165,-0.446624470253338
1.01619015408535,"pittsburgh-pirates",2013,0.378412473778764,-0.528819791459358,-0.882894217941267,2.07547307135501,-0.725131007438165,-1.04962857540359
-0.623245945975524,"philadelphia-phillies",2014,1.32737254734161,1.08505722760763,0.0448995118301434,0.346712580344075,0.657066645803483,-0.841215104662063
1.32846369695409,"pittsburgh-pirates",2015,1.22193253916796,-0.233809391961942,0.37573513649459,-1.06209716513105,0.066529222428912,-0.932562575446058
0.157437911196322,"washington-nationals",2015,0.167532457431466,1.10355730996741,0.481812301733061,-0.710892037472172,0.245533825634715,-0.978709246064029
1.09425853980254,"washington-nationals",2016,0.694732498299714,0.548770238046141,0.980150577413716,0.276666969352467,-0.400624171200704,-0.23723463866194
1.25039531123691,"washington-nationals",2017,1.32737254734161,1.02610116900711,0.694259430391041,-0.679368558388632,-0.0975188964106937,-0.738631375602328
1.48460046838846,"new-york-yankees",2018,-0.359667583436783,1.14530246671164,2.37573569853982,-0.166545494144621,0.52262724634884,-0.538395466026829
0.0793695254791376,"washington-nationals",2018,-0.465107591610434,0.309665264988191,0.662051544182207,-0.645003448067672,-0.227568325542829,1.39988921250909
0.391643068347876,"toronto-blue-jays",2020,-0.254227575263132,-1.24429563193419,-0.221223831560152,-0.400389112193925,-0.442364107660732,-0.209341148015744
0.391643068347876,"los-angeles-dodgers",2012,1.22193253916796,0.413924473323899,-0.966710178237935,-0.876809401498391,-0.725131007438165,-0.842049096004493
0.860053382650984,"los-angeles-dodgers",2013,1.32737254734161,2.39365481808382,0.120297675437862,-1.55648485636294,-0.725131007438165,0.269278289869611
1.01619015408535,"los-angeles-dodgers",2014,1.11649253099431,2.97169691550449,0.841734961967616,-1.31325531901366,-0.725131007438165,-0.917971401593124
0.860053382650984,"los-angeles-dodgers",2015,0.483852481952415,2.22942864721113,1.32672800914759,-1.59082443673071,0.431164905541783,3.17115508344574
0.781984996933799,"los-angeles-dodgers",2016,0.694732498299714,2.10224052622523,0.852952247542806,-1.22823994847672,0.00958389544929095,2.09783549703051
-0.779382717409893,"philadelphia-phillies",2016,-1.09774764065233,-0.820160044519204,-0.598510468097005,1.18949218059972,0.492601877303284,0.230528516902685
-0.310972403106785,"miami-marlins",2017,1.11649253099431,-0.432909276510101,1.18494473999829,-0.212320709434966,0.460308377196665,-0.263046218213207
-1.16972464599582,"san-diego-padres",2018,-2.04670771421518,-0.89395014883155,0.348848790347648,0.508939471572058,-0.351119380052201,1.60139976648866
1.01619015408535,"oakland-athletics",2012,-0.675987607957733,-0.761525071055733,-0.884009836828519,-0.704574901745619,-0.725131007438165,-0.865624004433119
1.17232692551972,"oakland-athletics",2013,0.167532457431466,-0.585091218655395,-1.40728816623787,-0.382677364428647,-0.725131007438165,-0.979645216247325
0.547779839782245,"oakland-athletics",2014,1.32737254734161,-0.5684248952162,-0.0648520850465687,-0.57219721180875,-0.725131007438165,0.27280837339026
-1.01358787456145,"oakland-athletics",2015,0.0620924492578144,-1.06842171229185,-0.367732516446383,-0.811959661963101,-0.240095956904844,0.689643271530942
1.09425853980254,"texas-rangers",2016,-0.254227575263132,0.868127344164188,-0.202638007499145,-0.248635875422734,0.461237877474517,-0.696100671817088
-0.232904017389601,"texas-rangers",2017,0.483852481952415,0.693733720673477,0.177405747188055,-0.266878184498231,-0.665731892608697,0.956216022294207
