"Wins","Team","Year","Average.Age","Payroll.Percent.Change","Retained","Total.Payroll","Top3_Percent","Payroll.Ranking","Position_Payroll_RP"
-1.32586141743019,"cincinnati-reds",2015,-0.465107591610434,-0.332959829392534,0.165153641695649,-0.397860522035125,-0.657874627681532,0.288434203852106,0.157932640221824
-1.01358787456145,"cincinnati-reds",2016,-0.886867624305032,-1.26007224892298,-0.440404489814606,-0.845895595308502,2.2716812522804,1.096049974638,-1.36950511961522
0.938121768368168,"cleveland-guardians",2019,-0.254227575263132,-1.45467406371551,-0.118337149742231,-0.501699936728445,0.195429571728687,0.749928930015476,-1.00140663324864
-1.87234011745048,"miami-marlins",2019,-0.465107591610434,-1.09622119260003,-0.798438108917494,-1.09215429976431,2.82079060185239,1.32679733771969,-1.21487790832941
-0.467109174541155,"detroit-tigers",2015,-0.465107591610434,-0.557853436110316,0.430931516288323,0.543841631574576,0.248783220210305,-1.096049974638,-0.150981176861861
-0.545177560258339,"los-angeles-angels",2016,-0.148787567089484,0.699255928787656,1.4706773481046,0.773182446269784,0.256672751277969,-0.980676293097161,-0.327897552597477
-0.0767672459552316,"los-angeles-angels",2017,1.11649253099431,-0.50599021660193,1.34440920028266,0.619443564836985,0.702000179876987,-0.749928930015476,0.033281214422569
-0.857451103127078,"minnesota-twins",2014,-0.886867624305032,0.0580796663698146,-0.168609924348643,-0.867288627203652,1.30330315585575,0.980676293097161,0.121681325904925
0.157437911196322,"minnesota-twins",2015,0.272972465605117,0.701550761509266,-0.860270449345764,-0.509389517227685,0.441373681277421,0.749928930015476,0.401290644578475
-1.63813496029892,"texas-rangers",2021,-0.886867624305032,-1.85764668963023,2.47828842633312,-0.71053285993448,0.200275993405412,0.519181566933791,-0.256386192076137
-1.01358787456145,"texas-rangers",2022,-0.675987607957733,2.30747470009196,0.723428090139438,0.314718591468844,1.17180599775738,0.0576868407704212,-0.888447718365856
1.09425853980254,"new-york-yankees",2012,2.69809265359906,0.0268699413559183,-0.375064721081674,1.74259069468085,-0.672741522212229,-1.67291838234222,1.24769571356286
-0.154835631672416,"pittsburgh-pirates",2012,0.378412473778764,0.914970204618998,-0.906661832739108,-1.36576802892045,0.415370070417603,1.44217101926053,-0.636762095363045
0.313574682630691,"new-york-yankees",2013,2.06545260455716,-0.109902088852039,-0.446624470253338,1.91132931832724,-0.821788166079408,-1.55754470080137,0.38504573895454
1.01619015408535,"pittsburgh-pirates",2013,0.378412473778764,0.486295452222245,-1.04962857540359,-1.16992961322415,2.07547307135501,1.32679733771969,-0.882894217941267
-0.623245945975524,"philadelphia-phillies",2014,1.32737254734161,0.0319185733434603,-0.841215104662063,0.787653239840637,0.346712580344075,-1.44217101926053,0.0448995118301434
1.32846369695409,"pittsburgh-pirates",2015,1.22193253916796,1.04761153592806,-0.932562575446058,-0.641611785402792,-1.06209716513105,0.865302611556318,0.37573513649459
0.157437911196322,"washington-nationals",2015,0.167532457431466,0.425252901827419,-0.978709246064029,0.60987845431215,-0.710892037472172,-1.21142365617885,0.481812301733061
1.09425853980254,"washington-nationals",2016,0.694732498299714,-1.01406618116639,-0.23723463866194,0.117154837074081,0.276666969352467,-0.0576868407704212,0.980150577413716
1.25039531123691,"washington-nationals",2017,1.32737254734161,0.379356247395218,-0.738631375602328,0.502926467524841,-0.679368558388632,-0.403807885392949,0.694259430391041
1.48460046838846,"new-york-yankees",2018,-0.359667583436783,-0.92732150428953,-0.538395466026829,0.882839540068283,-0.166545494144621,-1.21142365617885,2.37573569853982
0.0793695254791376,"washington-nationals",2018,-0.465107591610434,-0.316437033796941,1.39988921250909,0.486744188312377,-0.645003448067672,-0.634555248474633,0.662051544182207
0.391643068347876,"toronto-blue-jays",2020,-0.254227575263132,0.506948946716735,-0.209341148015744,-0.0497883132299539,-0.400389112193925,0.173060522311264,-0.221223831560152
0.391643068347876,"los-angeles-dodgers",2012,1.22193253916796,-0.21087472860288,-0.842049096004493,-0.305828976743063,-0.876809401498391,-0.749928930015476,-0.966710178237935
0.860053382650984,"los-angeles-dodgers",2013,1.32737254734161,4.38751107895929,0.269278289869611,1.95245851494018,-1.55648485636294,-1.67291838234222,0.120297675437862
1.01619015408535,"los-angeles-dodgers",2014,1.11649253099431,-0.183795702487882,-0.917971401593124,2.05760270615721,-1.31325531901366,-1.67291838234222,0.841734961967616
0.860053382650984,"los-angeles-dodgers",2015,0.483852481952415,0.835110025906969,3.17115508344574,3.18167077134522,-1.59082443673071,-1.67291838234222,1.32672800914759
0.781984996933799,"los-angeles-dodgers",2016,0.694732498299714,-0.824054031817079,2.09783549703051,2.52039829655057,-1.22823994847672,-1.67291838234222,0.852952247542806
-0.779382717409893,"philadelphia-phillies",2016,-1.09774764065233,-1.51663454719898,0.230528516902685,-0.557261164811829,1.18949218059972,0.403807885392949,-0.598510468097005
-0.310972403106785,"miami-marlins",2017,1.11649253099431,1.66033187259793,-0.263046218213207,-0.427484858879112,-0.212320709434966,0.519181566933791,1.18494473999829
-1.16972464599582,"san-diego-padres",2018,-2.04670771421518,1.32023766325533,1.60139976648866,-0.55658729769716,0.508939471572058,0.980676293097161,0.348848790347648
1.01619015408535,"oakland-athletics",2012,-0.675987607957733,-1.21279869485782,-0.865624004433119,-1.37802392092157,-0.704574901745619,1.55754470080137,-0.884009836828519
1.17232692551972,"oakland-athletics",2013,0.167532457431466,0.20816172636311,-0.979645216247325,-1.25356705652548,-0.382677364428647,1.44217101926053,-1.40728816623787
